Ticker,Symnbol
^AXJO,^AXJO
^FCHI,^FCHI
^HSI,^HSI
^BVSP,^BVSP
^MXX,^MXX
^KS11,^KS11
^STI,^STI
^SET,^SET
^JKSE,^JKSE
^MERV,^MERV
^OSEAX,^OSEAX
^GDOW,^GDOW
^IXIC,^IXIC
^RUT,^RUT
^VIX,^VIX
^SOX,^SOX
^BKX,^BKX
^XAL,^XAL
^DJU,^DJU
^DJT,^DJT
^DJUSRE,^DJUSRE
^DJUSFN,^DJUSFN
^XCI,^XCI
^BTK,^BTK
^HGX,^HGX
^GSPC,^GSPC
^DJI,^DJI
^FTSE,^FTSE
^GDAXI,^GDAXI
^N225,^N225
^HSI,^HSI
000001.SS,000001.SS
^BSESN,^BSESN
^AXJO,^AXJO
^GSPTSE,^GSPTSE
^IBEX,^IBEX
^SSMI,^SSMI
^BVSP,^BVSP
^MXX,^MXX
^KS11,^KS11
^TWII,^TWII
IMOEX.ME,IMOEX.ME
^AEX,^AEX
^BFX,^BFX
^ATX,^ATX
^NSEI,^NSEI
^NZ50,^NZ50
^STI,^STI
^KLSE,^KLSE
^SET,^SET
^JKSE,^JKSE
^MERV,^MERV
^NZ10,^NZ10
^STOXX50E,^STOXX50E
^ISEQ,^ISEQ
^TA125.TA,^TA125.TA
^CASE30,^CASE30
^OSEAX,^OSEAX
^GDOW,^GDOW
^NQPH,^NQPH
^RUT,^RUT
^VIX,^VIX
^VXN,^VXN
^XAU,^XAU
^SOX,^SOX
^BKX,^BKX
^XAL,^XAL
^DJU,^DJU
^DJT,^DJT
^DJUSRE,^DJUSRE
^DJUSFN,^DJUSFN
^XCI,^XCI
^BTK,^BTK
^HGX,^HGX
^OMX,^OMX

